"Street Number Name Direction","Address - City","Address - ZIP","ML_Number","Status","APN","Selling Date","Pending Date","Listing Date","DOM","Listing Price","Selling Price","Selling_Price_Per_Sqft","Year Built","Square Footage","Bedrooms","Bathrooms","Lot Size - Sq Ft","Parking Desc","Pool Type","Solar Owned/Leased Display","RESICONA","Property Subtype","Patio","Stories","Marketing Remarks","Street Full Address","Disclosures Desc","Inactive Date","Owned Solar Type Display","Primary_Picture_Url","Elementary School Desc","Jr High School Desc","Sr High School Desc","School District Desc","Association"
"6200 Kettlerock Mountain Ct","Bakersfield","93313","202305718","S","49821409","08/08/23","07/15/23","07/10/23","5","449900.00","460,000","215.26","1995","2137","5","3","10018","2 Car Garage","INGR","None","1000.00","SNGF","UNCV,SLAB","2","Welcome to the highly sought-after Silver Creek community! This beautifully renovated two-story home offers 5 bedrooms, 3 bathrooms, and tasteful upgrades throughout. Inside, enjoy the fresh interior paint, new light fixtures, and stylish quartz countertops. The wood-like flooring adds a touch of sophistication. The kitchen boasts stainless steel appliances with access to the living, dining, and breakfast areas, perfect for entertaining. As you venture outside, you'll discover a true oasis in the expansive backyard. Unwind and bask in the sun-drenched paradise as you take a refreshing dip in the sparkling pool or lounge in the shade of a mature tree. The possibilities for outdoor enjoyment and entertaining are endless. Located in a desirable neighborhood with convenient access to amenities, schools, and parks. Don't miss out on this incredible opportunity to own a renovated home in Silver Creek. Schedule a showing today and envision the possibilities!","6200 Kettlerock Mountain Ct, Bakersfield, CA 93313-4344","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/07/10/15b1b166-6a30-4a5a-8253-59301f6c9240.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5806 Arc Dome Ave","Bakersfield","93313","202305896","S","49862306","09/01/23","08/12/23","07/14/23","23","358900.00","350,000","301.46","2000","1161","3","2","6969","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","This Single Family Home In Silver Creek Is An Incredible Opportunity For A First Time Home Buyer Or An Investor Those Seeking A Move-in-Ready House With Modern Upgrades and Desirable Location. The Home Boasts a Spacious and Inviting Split Wing Floor Plan For Offering Comfort And Flexibility For You And Your Family. Recently Renovated With Fresh Paint Inside & Outside And A New garage Door it Displays A Vibrant And Welcoming Atmosphere. Ample Cabinet Space In The Kitchen With Brand New Granite Counter Top and Brand New Gas/Range and Dishwasher, Stainless Steel Sink and Swan Neck Faucet. Entertain in Family And Friends With Ease In The Spacious Living Areas And Relish The Backyard With A Full Length covered Patio. With Nearby Parks, Schools, And Shopping Centers, this Home Offers The Perfect Blend Of Convenience And Luxury.  Don't Miss The Chance to Make This Beautifully Updated Home YOURS!!","5806 Arc Dome Ave, Bakersfield, CA 93313-4965","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/07/19/27365766-f833-457c-8669-96ae3a579540.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5001 Rogue Water Ct","Bakersfield","93313","202400031","S","49832225","02/12/24","01/17/24","12/28/23","20","365000.00","367,000","268.86","1995","1365","3","2","6098","2 Car Garage","COMM","None","0.00","SNGF","CVRD","1","Come see this beautiful 3 bedroom, 2 bath home on corner lot! Home is located in great community of Silvercreek close to school, amenities and shopping. Home features an airy kitchen with lovely counter tops, white cabinets and stainless steel sink. Kitchen bar looks into the dining area and great room with tile and lots of natural light! Nicely painted spacious bedrooms with carpet for your comfort. Newly painted exterior and the backyard is beautifully landscaped with lemon trees, a covered patio and a dog run. This home will go fast so schedule your showing appointment today!","5001 Rogue Water Ct, Bakersfield, CA 93313-4516","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/12/27/b1fa682f-5c09-4c4e-a6c0-e0ef1fbe36a4.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6909 Slickrock Dr","Bakersfield","93313","202306019","S","49858402","10/13/23","10/11/23","07/19/23","67","465000.00","450,000","174.83","1999","2574","4","3","7405","2 Car Garage","NONE","Owned","0.00","SNGF","CVRD","2","OWNED SOLAR- Only pay $20-40/month electric, saving you thousands every year!    Offering current loan assumption for qualified buyers at 3.875% interest on ~$235k, saving you thousands in interest every year!    Spacious 4 bedroom, 3 full bath home with a private office that could be easily converted into a 5th bedroom. Spacious bedrooms, his and hers walk-in closets in the master bedroom. Storage closets everywhere! This home boasts high ceilings, a wood fireplace, a beautiful formal dining room and huge backyard lined with lemon, lime, plum, grapefruit, kumquat and peach trees and a covered patio with LED lights and fans","6909 Slickrock Dr, Bakersfield, CA 93313-4957","None of the Above","","Paid Off In Escrow","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/09/06/fb4b299d-2afb-4634-88ba-301fb8def276.jpg","Suburu, Donald","General Shafter","Independence","","MLS"
"5833 Greenhorn Mountain Ct","Bakersfield","93313","202305948","S","49828203","09/29/23","08/29/23","07/20/23","25","410000.00","410,000","192.67","1995","2128","3","2","7405","2 Car Garage","NONE","None","0.00","SNGF","UNCV,SLAB","1","Welcome to your dream home! This exceptional property features numerous upgrades, including eye-catching tile on the fireplace, adding a touch of elegance to the living space. This home also includes a well-appointed office space, perfect for professionals or those who work from home. Stay comfortable year-round with a new 3-year-old HVAC equipped with a smart home thermostat, ensuring efficient and convenient climate control.  Located conveniently near shopping, restaurants, and parks, this home offers easy access to all your favorite amenities. It is also within walking distance to schools, making it a perfect choice for families with children.  The large master bedroom provides a peaceful retreat after a long day, and the spacious layout ensures there's plenty of room for relaxation and rest. This property seamlessly combines style, convenience, and modern amenities, making it the perfect place to call home. Don't forget to take a virtual tour and schedule your showing today!","5833 Greenhorn Mountain Ct, Bakersfield, CA 93313-4393","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/07/20/bf366621-7350-48dc-af6b-e1622cdbd2a7.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6817 Cabin Creek Ct","Bakersfield","93313","202306298","S","49865210","09/28/23","08/22/23","07/29/23","8","355000.00","355,000","194.95","2001","1821","2","2","6969","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","Welcome to this beautiful corner lot home that boasts 2-beds (PLUS AN OFFICE) and 2-baths. Stepping through the front door, it will be clear that the home has been very loved and cared for by the current seller, who has been the only owner of the property since it was built in 2001. Both bedrooms come with modern paint colors, spacious closets, and the office has double glass doors w/ potential space to build a closet for a third bedroom. The restrooms have clean vanities and tub/shower combos. The kitchen is equipped with newer appliances, tile countertops, plenty of cabinet storage, as well as a breakfast bar. The living room contains a gas fireplace, room for a dining table, and access to the back patio. Heading out back, you will find the covered patio section w/ concrete poured by Monji landscaping, a large amount of grass area, spacious side yards, and a 4 year old HVAC that features an AprilAire whole-house filtration system. Do not miss your opportunity to make this your home!","6817 Cabin Creek Ct, Bakersfield, CA 93313-4984","Special Forms","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/07/29/2f97929f-3cd3-47b4-aa9a-05d808b0e136.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7118 Sierra Rim Dr","Bakersfield","93313","202306392","S","49831202","09/08/23","08/08/23","07/31/23","5","398900.00","410,000","212.11","1994","1933","3","3","6969","2 Car Garage","NONE","PPA","0.00","SNGF","CVRD","2","Welcome to this stunning two-story home! This two-story home offers a harmonious balance of functionality and beauty. This home features a beautiful new updated kitchen with an open layout to family room. With ample space for your growing family and versatile rooms to suit your needs, this two-story home is more than just a house -- it's a haven of comfort and possibilities.","7118 Sierra Rim Dr, Bakersfield, CA 93313-4509","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/08/01/ff7e7642-f384-43e4-a40f-64a8040c0323.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5017 Misty Breaks Dr","Bakersfield","93313","202306462","S","49825311","09/21/23","08/23/23","08/02/23","6","382000.00","381,500","279.08","1993","1367","3","2","4791","2 Car Garage","COMM","None","0.00","SNGF","CVRD,UNCV","1","WOW!! That's what you'll say when you step inside this immaculate, turn key ready home, full of amazing upgrades (list attached in docs because there are too many to name here). A newly renovated kitchen overlooks the spacious living room, complete with a cozy gas fireplace insert, and plenty of room to entertain friends & family. Set the mood with bluetooth music capability throughout the home & ambient lighting under or above all cabinets...sure to impress. The halls offer ample storage options for your overflow of belongings. Large bedrooms create a comfy sleeping space for you, your kiddos, or any overnight guests. As you open the back door you are greeted by a tropical oasis full of lush ground covering plants, large/mature trees, twinkle lights, a water fountain, stained concrete, and so much more. Schedule your showing today so you don't miss out on the opportunity to call this one home.","5017 Misty Breaks Dr, Bakersfield, CA 93313-4361","HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/08/02/6e8077f6-b9c0-4004-9b23-757a9db92939.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5911 Sky Lakes Ave","Bakersfield","93313","202306527","S","49855305","09/05/23","08/10/23","08/03/23","3","410000.00","410,000","285.71","1999","1435","4","2","13503","2 Car Garage","INGR","None","0.00","SNGF","CVRD,SLAB","1","Silver Creek beauty 4B/2B formal dining room, eat in kitchen, family room with a fireplace and view of the pool, built in desk area, new flooring and paint.  This beautiful home is waiting for a family to enjoy this large lot and pool for summer fun and BBQ's.  Also has room for your RV and more!!","5911 Sky Lakes Ave, Bakersfield, CA 93313-4584","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/08/04/67358c3a-20b2-457a-a50d-1a95f360997c.jpg","Suburu, Donald","General Shafter","Independence","","MLS"
"7401 Sutters Mill St","Bakersfield","93313","202308872","S","49821205","10/16/23","10/06/23","08/03/23","42","412000.00","420,000","213.41","1993","1968","4","3","7840","2 Car Garage","NONE","None","0.00","SNGF","","2","Captivating two-story single family home, boasting 1968 square feet with 4 bedrooms and 3 bathrooms. Nestled in a desirable Bakersfield locale, it offers proximity to shopping, restaurants, parks, and schools. An ideal blend of space and convenience for modern living.","7401 Sutters Mill St, Bakersfield, CA 93313-4351","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/08/23/63b79dba-1b37-4118-8c74-8cb3529b3295.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6906 Rogue River Dr","Bakersfield","93313","202309321","S","49832405","11/03/23","09/19/23","09/03/23","16","385000.00","391,000","290.06","2002","1348","3","2","5662","2 Car Garage","INGR","None","6000.00","SNGF","","1","Step inside this beautiful 3-bed, 2-bath home nestled in the Silver Creek Community. Heading past the front patio oasis and into the home, you'll step into the inviting great room with a fireplace and a dining area w/ custom light fixture. The kitchen is equipped with custom granite countertops, white cabinetry, and white appliances. Each bedroom and restroom feature modern paint colors, spacious layouts, and the master bedroom provides access to the backyard. Outside in the backyard, you have the sparkling swimming pool, gated side yard, covered patio area, and tons of mature landscaping! Schedule your private showing today, before this gem is gone!","6906 Rogue River Dr, Bakersfield, CA 93313-4515","CC&Rs,HOA Fees,Special Forms","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/09/07/39a18558-b2fe-4d1a-9d19-57e243baef12.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7001 Rogue River Dr","Bakersfield","93313","202309572","S","49832208","12/04/23","11/01/23","09/09/23","53","345000.00","345,000","255.93","2002","1348","3","2","5227","2 Car Garage","COMM","None","0.00","SNGF","","1","This beautiful 3-bed, 2-bath home nestled in the Silver Creek Community is move in ready and perfect for first time home buyers or would make a perfect rental for investors. Home is in walking distance to the community park and pool. Also located close to parks and stores that make it a convenient place to live. The house exterior is newly painted.   Call your favorite Realtor for a private showing.","7001 Rogue River Dr, Bakersfield, CA 93313-4514","HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/09/09/29926c2c-957d-4fb5-aa24-a7dd7eac4e40.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5910 Foss Ridge Ct","Bakersfield","93313","202310318","S","49863107","11/16/23","10/17/23","10/03/23","12","349900.00","355,000","282.19","2001","1258","3","2","6534","2 Car Garage","NONE","None","1500.00","SNGF","","1","Well Maintained Home located in Silver Creek!  Built in 2001, this home that sits in a cul-de-sac features three bedrooms with two bathrooms.  Home has been freshly painted and boasts a large family room with tile flooring, newly carpeted bedrooms, new blinds, new kitchen appliances (Dishwasher, Microwave and Gas Oven/Range) and ceiling fans throughout.  Don't miss out on this great home!","5910 Foss Ridge Ct, Bakersfield, CA 93313-4976","Corp. Owned","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/10/16/c9a87a39-6a54-487c-852a-fcd9c6731c58.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6616 Hanford Dr","Bakersfield","93313","202304343","S","49872208","07/17/23","07/11/23","05/29/23","43","369900.00","378,000","227.44","2005","1662","4","2","4356","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","ONE of a KIND Home in Southwest Bakersfield! This 4 bedroom, 2 bath home is located in a wonderful community offering all the comforts you need which includes a roomy great room connecting with high ceilings, attached 2 car garage, open floor-plan concept, and lots of storage throughout. Many of the amenities include: large tile flooring, large updated baseboards, plantation shutters, and the list goes on! The cooks delight kitchen offers dark rich cabinets, beautiful tile backsplash, stainless steel appliances, and granite counter tops! The backyard features lots of concrete throughout, covered patio, outdoor bar, and lots of room to entertain guests! Come and take a look today!","6616 Hanford Dr, Bakersfield, CA 93313-5908","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/05/29/a254a263-755d-4c2e-856c-b987258838f6.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7417 Indian Gulch St","Bakersfield","93313","202403518","S","49826205","06/21/24","05/24/24","04/11/24","43","434900.00","435,000","205.29","1996","2119","4","2","7405","3 Car Garage","NONE","Leased","2500.00","SNGF","","1","Sw Silvercreek beauty ready for new homeowner. This beauty is rare in Silver Creek with the 3 car garage. As you walk in you are greeted with a large great room with a two way fireplace. The kitchen has upgraded granite countertops and overlooks the dining and family room area. Did I mention you get 4 bedrooms with this one. The primary bathroom features a separate tub and shower. You get over 2000 sq feet. The backyard is good sized and this one is located a short walk from the park.","7417 Indian Gulch St, Bakersfield, CA 93313-4554","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/04/11/004eac3d-0da1-4966-a199-b86964a768c1.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6309 Ambergrove St","Bakersfield","93313","202304388","S","49809703","07/11/23","06/11/23","05/31/23","11","405000.00","405,000","182.84","1990","2215","4","3","6098","None,2 Car Garage","NONE","None","0.00","SNGF","UNCV","2","Welcome to this remarkable 2-story home in Southwest Bakersfield! With 4 bedrooms and 3 bathrooms, this residence offers ample space for your family. Step inside to find a cozy family room, formal dining area with plush carpeting you will find throughout, and a separate living room featuring a dual-sided tile fireplace. The open kitchen boasts abundant cabinet space and a breakfast area all with laminate tile flooring. Conveniently, there's an indoor utility room and a half bathroom downstairs. Upstairs, you'll find 3 guest bedrooms and a guest bathroom with dual vanity and a large tub. The large master suite includes an attached bathroom with dual vanities, a soaking tub, and a separate walk-in shower. The big backyard is perfect for outdoor activities, featuring a spacious grass area and a patio. Don't miss out on this fantastic opportunity to make this house your dream home!","6309 Ambergrove St, Bakersfield, CA 93313-4166","Special Forms","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/05/31/a29a77ca-00f2-4a57-9d89-66b580809e2e.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6204 Ambergrove St","Bakersfield","93313","202304819","S","49809520","08/04/23","06/23/23","06/10/23","13","400000.00","400,000","180.59","1990","2215","4","3","6098","2 Car Garage","NONE","None","5000.00","SNGF","","2","Welcome Home! Absolutely gorgeous home in South-West Bakersfield, surrounded by schools, shopping, parks, and amenities! Perfect 4 bedrooms, 3 baths, featuring a large great room and living area welcomes you to the open dining/kitchen area perfect for family and friends. Kitchen features granite counters, tons of storage, stainless steel appliances. Large master suite with dual vanities, walk-in shower + soaking tub. Perfect sized guest bedrooms, bathrooms and indoor laundry. Large grass yard for the pets and kids.","6204 Ambergrove St, Bakersfield, CA 93313-4159","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/06/10/88bc6325-b21b-4480-8b81-5693207a804e.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7115 Frog Meadow St","Bakersfield","93313","202304869","S","49856301","08/07/23","07/10/23","06/12/23","22","375000.00","375,000","261.32","1999","1435","3","2","9583","2 Car Garage","NONE","None","0.00","SNGF","UNCV","1","Silver Creek Home Available, MOVE IN READY!    The ideal Family Corner Home. 3 bedrooms, 2 bathrooms with a huge backyard, plenty of trees.   New interior paint throughout the home, New Carpet, Great size Kitchen, Open Study Area, and a Cozy Fireplace. Home located in the most desirable Area of Bakersfield, CA due to the endless shopping centers available within minutes of each other from the West of Gosford to Panama Ln Area. Children Schools from K-12 within 2 minutes to 11 minutes. Taft College is only 28 miles. California University of Bakersfield is only 12 minutes.  Large Community Park walking distance around the corner.","7115 Frog Meadow St, Bakersfield, CA 93313-4940","Call Listing Agent","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/06/12/eac70e2e-5735-475c-ba40-14479289b973.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6410 Boggy Meadow Ln","Bakersfield","93313","202305335","S","49866209","08/14/23","07/12/23","06/27/23","15","333000.00","350,000","237.29","2000","1475","3","2","6534","2 Car Garage","NONE","None","10000.00","SNGF","UNCV","1","Wonderful 3 bedroom 2 bathroom Championship Series home in the Silver creek area. Plenty of parks nearby featuring basketball, disc golf and other outdoor activities. Schools, grocery stores and shopping centers close by. The kitchen offers a breakfast bar with a view of the good size living area with spacious vaulted ceilings. Good size backyard with plenty of tree shade and a patio slab. Come by and see it today!","6410 Boggy Meadow Ln, Bakersfield, CA 93313-4985","Probate","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/07/03/09ef5edd-c98a-4af2-9273-6ab5a0261aac.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5005 Wild Song Ct","Bakersfield","93313","202311259","S","49832217","11/30/23","11/06/23","10/31/23","6","325000.00","325,000","238.10","1995","1365","3","2","4356","2 Car Garage","COMM","None","0.00","SNGF","CVRD","1","Silver Creek community, ready to move in and its perfect for first time home buyers. 3 bed 2 bath and its tile roof and new interior painting and new appliances. there is Community park and club house and community pool. better to own then to rent.","5005 Wild Song Ct, Bakersfield, CA 93313-4517","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/10/31/1b9e1fd4-84cf-4f6e-9beb-6841bf867920.jpg","Suburu, Donald","Stonecreek","Independence","","MLS"
"5404 Silver Crossing St","Bakersfield","93313","202404772","S","49806304","07/12/24","06/14/24","05/15/24","17","378500.00","365,000","271.58","1991","1344","3","2","5662","2 Car Garage","NONE","PPA","0.00","SNGF","CVRD","1","Spanish Style Home located in the southwest, close to shopping, schools and parks.  This home feature new carpet, new flooring through, big inviting kitchen, open dining room area for all your family gatherings. These 3 bedrooms 2 bathrooms will not disappoint.    Call to schedule your private showing today","5404 Silver Crossing St, Bakersfield, CA 93313-4123","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/05/18/3d2882d0-b3e0-4376-98dd-0ac97a0b4294.jpg","Suburu, Donald","General Shafter","Independence","","MLS"
"8004 River Mist Ave","Bakersfield","93313","202311253","S","49808226","01/09/24","12/15/23","10/31/23","45","374900.00","365,000","295.31","1989","1236","3","2","5662","2 Car Garage","INGR","None","10950.00","SNGF","CVRD","1","Nestled in the heart of Silver Creek in southwest Bakersfield, this delightful 3-bedroom, 2-bathroom home is a true gem, awaiting its new owner. With an array of recent upgrades and a location that blends convenience and tranquility, this property is the perfect place to call home. Step inside and be greeted by a freshly painted interior and brand new carpet throughout common areas and bedrooms. Enjoy peace of mind with a newer AC unit and ducting, ensuring your home stays cool during those hot Bakersfield summers. The new kitchen and bathroom light fixtures add a touch of elegance and functionality, while new shower doors in both restrooms and new toilets bring modern design and comfort to your daily routine. For those seeking a workspace or hobby area, the garage is equipped with a mini-split AC system, making it suitable for year-round use. Out back, the custom pool and alumawood patio, only 3 years old, create the perfect setting for outdoor gatherings and summer enjoyment!","8004 River Mist Ave, Bakersfield, CA 93313-4100","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/10/31/4cd05387-f178-4b5b-8c6e-995163d91012.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7408 Indian Gulch St","Bakersfield","93313","202404762","S","49826105","08/07/24","06/13/24","05/29/24","15","400000.00","400,000","162.47","1997","2462","4","3","7405","2 Car Garage","INGR","None","0.00","SNGF","CVRD","2","Southwest Charming home with 4 bedrooms, 2.5 baths with a 2-car garage. This property features a large formal living room, formal dining area, spacious great room and a lovely kitchen with an island abundance of cabinet space and a pantry.  The master bedroom has a spacious closet and a full bathroom with double sink, separate tub plus shower. The backyard has a pool with a spa. Close to the park, and shopping center.","7408 Indian Gulch St, Bakersfield, CA 93313-4553","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/05/29/d386d649-1998-40ca-8dde-b81d7ac39165.jpg","Suburu, Donald","Other-Outlying","Independence","","MLS"
"7006 Drift Creek St","Bakersfield","93313","202311264","S","49853212","02/23/24","02/22/24","11/01/23","113","365000.00","355,000","280.85","1999","1264","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","","1","Coleman built 3 bedroom 2 bath Silver Creek neighborhood home move in ready spacious backyard that provides ample room for outdoor enjoyment. Close to schools and shopping.  What truly distinguishes this home is that it has been well taken care of by a single owner since 1999 new paint and flooring. Don't let this opportunity pass you by, schedule a showing today!","7006 Drift Creek St, Bakersfield, CA 93313-4953","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/11/01/5c415a0c-057e-4b2f-8472-f443fb054ed6.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7920 Cold Springs Ct","Bakersfield","93313","202406243","S","49805212","07/10/24","06/27/24","06/25/24","2","369000.00","369,000","318.10","1988","1160","3","2","5662","2 Car Garage","NONE","None","0.00","SNGF","","1","Cute Silver Creek home, rehabbed with the latest trends. New cabinets, New interior and exterior paint. Laminate flooring. New Fixtures and Appliance. Chimney in the living room. Home is ready for a new family.","7920 Cold Springs Ct, Bakersfield, CA 93313-4191","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/06/25/da625222-d8d3-48be-bcd5-dce9fd43f141.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6425 Brewer Creek Dr","Bakersfield","93313","202406294","S","49868116","07/12/24","06/28/24","06/26/24","2","385000.00","360,000","216.61","2004","1662","3","2","11325","2 Car Garage","NONE","Leased","0.00","SNGF","UNCV","1","Highly desirable area. This home has great bones, sits on a big lot and could turn into your dream home. Don't hesitate to see this soon, it will not last. All information deemed reliable but not guaranteed.","6425 Brewer Creek Dr, Bakersfield, CA 93313-5915","Subject To:","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/06/26/ef1488d4-2e8a-4a90-8a4f-d50fa2232672.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7018 Slickrock Dr","Bakersfield","93313","202311858","S","49858206","03/07/24","12/18/23","11/22/23","26","389900.00","380,000","225.65","1999","1684","4","2","8276","2 Car Garage","INGR,SPA","None","0.00","SNGF","CVRD","1","This 4 bedroom 2 bath home has two living areas and a bonus room or office.  Large kitchen with a high counter breakfast bar overlooking the open concept dining room and family room.  Fireplace for those cold winter nights, and light-colored laminate flooring throughout the home.  Slider opens up to a hot California summertime dream of a large pool with a connected hot tub to enjoy on cooler nights. Grab your favorite realtor and make an offer!","7018 Slickrock Dr, Bakersfield, CA 93313-4956","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/11/22/5c4707ae-db4c-43a5-91fb-137499320696.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5505 Shadow Stone St","Bakersfield","93313","202406434","S","49817112","09/09/24","07/18/24","06/29/24","19","377000.00","377,000","290.45","1993","1298","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","CVRD,SLAB","1","Hello bakersfield within  the Silver Creek community, 5505 Shadow Stone in Bakersfield, CA This modern elegance and convenience. This properly is not just a home; it's a lifestyle upgrade. Surrounded by the top-tier education of Independence High School and mere moments away from Sam's Club and Gosford shopping mall, every aspect of daily life becomes effortlessly streamlined. Experience the perfect blend of tranquility and accessibility as you step into thisnice homeofpeace.","5505 Shadow Stone St, Bakersfield, CA 93313-4319","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/06/30/498f9bd7-9b67-445a-850d-00c907dad68c.jpg","Suburu, Donald","General Shafter","Independence","","MLS"
"7517 Sutters Mill St","Bakersfield","93313","202406541","S","49821108","10/09/24","07/22/24","07/01/24","21","424000.00","420,000","220.24","1993","1907","4","2","8276","2 Car Garage","NONE","Leased","7000.00","SNGF","CVRD","1","** $7,000 ** SELLER INCENTIVE **       Discover this charming home in the desirable Silvercreek neighborhood of Southwest Bakersfield.  Featuring top-rated schools & within walking distance to a lovely park, this property offers a dream backyard perfect for relaxation. Enjoy your morning coffee on the covered patio next to a tranquil water fountain amidst lush landscaping designed by Monji Landscaping. The primary bedroom boasts direct access to the patio, while the primary bathroom & the guest bathroom each feature dual sinks. With 4 bedrooms plus and office, this home offers a spacious and practical layout for comfortable living. Only minutes from freeways & shopping, convenience is at your doorstep. This home is ideal for families of all sizes, from first time homebuyers to those looking to upgrade. Solar lease only $163/mo. Don't miss out on this incredible opportunity. Schedule today and make this beautiful house your new home!!","7517 Sutters Mill St, Bakersfield, CA 93313-4350","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/07/04/1271af8d-ad1d-4383-a886-7a24f86fca85.jpg","Suburu, Donald","Warren, Earl","Independence","","MLS"
"7103 Frog Meadow St","Bakersfield","93313","202312517","S","49857204","02/12/24","01/02/24","12/21/23","12","354999.00","347,000","241.81","1999","1435","3","2","7840","2 Car Garage","NONE","None","0.00","SNGF","UNCV,SLAB","1","Nestled in the desirable Silver Creek neighborhood, this 3-bedroom, 2-bathroom home welcomes you with an abundance of natural light, thanks to its high ceilings and strategically designed layout that creates an inviting atmosphere. The kitchen features tile floors, adding to its appeal. It's perfect for crafting delicious meals, entertaining guests, and connecting with loved ones. One of the standout features of this property is the spacious backyard that provides ample room for outdoor enjoyment. What truly distinguishes this home is that it has been well taken care of by a single owner since 1999! Now, it's ready for new owners to create their own memories and stories within its walls. This residence embodies comfort and convenience. Don't let this opportunity pass you by, schedule a showing with your agent today!","7103 Frog Meadow St, Bakersfield, CA 93313-4940","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/12/21/cf03ec93-62c0-4e9e-b0be-dbd3881dc83a.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5207 Grogan Dr","Bakersfield","93313","202400371","S","49837104","02/05/24","01/16/24","01/10/24","6","368000.00","360,000","213.27","1997","1688","3","1.75","6098","2 Car Garage","NONE","None","0.00","SNGF","SLAB","1","Welcome home! Your journey to becoming a homeowner starts here. This well-maintained home features a newer AC, newer appliances in the kitchen, updated ceiling fans and light fixtures, plus brand-new carpeting in the family room! The floor plan features 3 bedrooms, an office, an indoor laundry room, and a spacious family room with a fireplace. Plenty of room to relax with family and friends! The primary bathroom showcases dual sinks and a tiled shower. The backyard includes a gazebo and newly sodded grass. Located in a Silver Creek neighborhood near restaurants, shopping, and schools.","5207 Grogan Dr, Bakersfield, CA 93313-4575","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/01/10/884cabd2-5c85-4e5e-b2ab-bc085b426ec4.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
